0.Unannotated,1.Unannotated,2.Unannotated,3.Unannotated,4.Unannotated,5.Unannotated,6.Unannotated,7.Unannotated,8.G-KC,9.Unannotated,10.Astrocyte-like,11.TmY14,12.Pm1/Pm2,13.Unannotated,14.Ensheathing glia,15.Unannotated,16.Unannotated,17.Mip ,18.Tm9,19.Unannotated,20.L1/L2/L3/L4/L5,21.Unannotated,22.a/b-KC,23.Unannotated,24.T4/T5,25.Unannotated,26.Mi1,27.OPN: adPN and lPN,28.a'/b'-KC,29.Unannotated,30.Unannotated,31.T2/T3,32.Unannotated,33.Unannotated,34.Unannotated,35.Ensheathing Glia,36.Clock neurons,37.T1,38.Serotonergic,39.Dm8/Tm5c,40.Unannotated,41.Tm5ab,42.Dopaminergic,43.Hemocytes,44.Unannotated,45.Tm1/TmY8,46.Peptidergic,47.Unannotated,48.Pm1/Pm2/Pm3,49.Unannotated,50.Unannotated,51.Mt1,52.Unannotated,53.Photoreceptors,54.Unannotated,55.Unannotated,56.Unannotated,57.MBON,58.Lawf1,59.Unannotated,60.Cortex Glia,61.dFB,62.Unannotated,63.Unannotated,64.Octopaminergic-Tyraminergic,65.C2/C3,66.Subperineurial Glia,67.Unannotated,68.Unannotated,69.Unannotated,70.Perineurial glia,71.Unannotated,72.Lawf2,73.Pm3 ,74.Unannotated,75.Unannotated,76.Unannotated,77.Unannotated,78.Unannotated,79.Unannotated,80.Poxn,81.Unannotated,82.Chiasm Glia,83.Unannotated,84.Unannotated,85.Subperineurial Glia,86.DN1
,,,,,,,,CkIIalpha,,CG8397,,,,CR45131,,,,,,,,Fife,,,,CG8500,,alph,,,,,,,HDAC6,,Unc-76,,P5cr,,,,CG3164,,,,,,,,,,,,,,,PPP4R2r,,CG10512,CG15772,,,,,CG1674,,,,Mgstl,,mRpL18,,vig,,,,Tmem18,Lamp1,SNF4Agamma,MFS3,RpL39,,CR43241,Reep1,homer
,,,,,,,,CG31760,,CG9471,,,,Cyp6a13,,,,,,,,Hr38,,,,CG42663,,CG9267,,,,,,,CG12344,,CG43778,,l(3)neo38,,,,CG5254,,,,,,,,,,,,,,,CG7368,,shg,Drep4,,,,,Frl,,,,Sema5c,,CG15456,,ATPsyndelta,,,,SRm160,CG11790,CG8245,PGRP-LC,Sp7,,Eph,Cyp9f2,RpL41
,,,,,,,,PIP4K,,Nhe3,,,,CG2862,,,,,,,,loqs,,,,ND-24,,klar,,,,,,,Amph,,S6KL,,UQCR-C2,,,,RpS26,,,,,,,,,,,,,,,dpr6,,CG16947,CG9921,,,,,if,,,,bbg,,CG4686,,sxc,,,,AhcyL1,CG10365,eIF3e,Tspo,Xbp1,,CG11883,CG9932,CngB
,,,,,,,,CG1504,,Cyp12e1,,,,CG1213,,,,,,,,betaTub56D,,,,Ip259,,CG13300,,,,,,,Cyp6a17,,MED10,,CG18135,,,,stg,,,,,,,,,,,,,,,CG32278,,Rac2,CG3860,,,,,CG6231,,,,Tctp,,CG14812,,CG31323,,,,Graf,apolpp,CG5010,yip2,yip2,,CG33129,Prosalpha2,Nedd8
,,,,,,,,CG11319,,CG12012,,,,ImpE1,,,,,,,,Ntf-2,,,,ATPsynE,,Pcd,,,,,,,CG42709,,CG34383,,eIF3l,,,,edl,,,,,,,,,,,,,,,trio,,FASN1,twz,,,,,RpL35,,,,spri,,CR40190,,SdhB,,,,CG13999,RpL27,gish,CG18507,Hydr1,,Pp2A-29B,pr,Tusp
,,,,,,,,rdgBbeta,,CG32354,,,,GstE3,,,,,,,,CG4658,,,,drl,,vtd,,,,,,,CG3164,,Arpc4,,Cisd2,,,,Cyp9f2,,,,,,,,,,,,,,,CG44242,,CG13707,DIP-beta,,,,,Galphai,,,,Pfrx,,HDAC4,,bun,,,,E2f1,RpL11,Hsc70-5,CG34423,axo,,CG13409,Cyp6g1,SerRS
,,,,,,,,Cdk5alpha,,ken,,,,CR42491,,,,,,,,Pde9,,,,eIF4B,,CG1129,,,,,,,CR31044,,Syt7,,eIF3k,,,,drpr,,,,,,,,,,,,,,,galectin,,Proc-R,,,,,,CG5167,,,,RpL34b,,CG18549,,RabX1,,,,CG33199,Ace,Sirup,Snp,CG12768,,CG31637,Akap200,Ubi-p63E
,,,,,,,,Pp1-87B,,CG15611,,,,Sesn,,,,,,,,Rdh,,,,Acon,,Rbp1-like,,,,,,,Cyp1,,psq,,SdhC,,,,Zasp52,,,,,,,,,,,,,,,oys,,Sin3A,,,,,,CG5793,,,,CG5973,,P32,,CG9034,,,,CG32544,RpS16,CG6364,RpL31,Cyp9c1,,CG5937,FucT6,MCTS1
,,,,,,,,px,,CG42806,,,,CG8547,,,,,,,,rdgBbeta,,,,CG44242,,Kr-h1,,,,,,,CG1146,,ubl,,ND-PDSW,,,,Lsd-1,,,,,,,,,,,,,,,ND-MWFE,,loco,,,,,,Nost,,,,Ugt58Fa,,Ucp4A,,UQCR-14,,,,mAChR-A,mav,RpS3A,RpS18,Cyp1,,CG13551,PVRAP,bai
,,,,,,,,CG30389,,CG31549,,,,CG2493,,,,,,,,CG42238,,,,ND-B14.5A,,Hsc70-3,,,,,,,CG32512,,Mlc-c,,Hsc70-5,,,,Indy,,,,,,,,,,,,,,,CG5214,,Hnf4,,,,,,CG12065,,,,Nep4,,Opa1,,CG9784,,,,MESK2,UGP,mam,cl,eEF1gamma,,Cnx99A,Rpn6,CG1275
,,,,,,,,Cow,,CG15201,,,,CG1640,,,,,,,,ringer,,,,Ccn,,gish,,,,,,,Asph,,CG5059,,mRpL10,,,,RpL35A,,,,,,,,,,,,,,,miple2,,D2hgdh,,,,,,Cyp4g15,,,,Drgx,,CG14483,,UQCR-11,,,,Pgi,RpL34b,cdc14,wal,CG3887,,CG9231,Prosalpha6,CG43740
,,,,,,,,CG34353,,noc,,,,Ptr,,,,,,,,jigr1,,,,ND-MWFE,,CR12842,,,,,,,Debcl,,Ac3,,brp,,,,Act5C,,,,,,,,,,,,,,,stj,,fog,,,,,,Sap-r,,,,mthl10,,nmd,,ftz-f1,,,,CG2258,Chd64,COX6B,CG8547,teq,,Past1,Cad87A,Rab2
,,,,,,,,Pcd,,Tre1,,,,hth,,,,,,,,RpS23,,,,CG16711,,CG7708,,,,,,,pbl,,CG34117,,TBC1D16,,,,CecA1,,,,,,,,,,,,,,,CG11077,,CG15111,,,,,,CG32407,,,,Mdh2,,mRpL24,,CG30116,,,,CaMKI,CG5273,Rab5,CG31469,AnxB11,,Cyt-b5,Eip74EF,ref(2)P
,,,,,,,,TBPH,,CG9686,,,,uzip,,,,,,,,Syt12,,,,ND-23,,mGluR,,,,,,,CG11899,,l(1)10Bb,,Tom7,,,,CG31313,,,,,,,,,,,,,,,CG5500,,SPR,,,,,,CG4301,,,,CG10311,,CG3337,,Gbeta5,,,,CG6282,RpS10b,I-2,CG31548,CG6770,,ubl,rad,eEF1delta
,,,,,,,,Galphas,,GstE6,,,,CG4302,,,,,,,,unc-13-4A,,,,CG7985,,CG8108,,,,,,,CG6465,,Rab2,,CG15431,,,,CG17224,,,,,,,,,,,,,,,PMCA,,CG13315,,,,,,Rho1,,,,RpL41,,mRpL42,,Ace,,,,hfp,CG5382,PHGPx,CG10939,GILT1,,AstC-R1,CG5059,Ykt6
,,,,,,,,CG33116,,CG30159,,,,eEF5,,,,,,,,tutl,,,,CG31808,,dpr20,,,,,,,GstS1,,CG17075,,RpL35,,,,magu,,,,,,,,,,,,,,,CG7484,,26-29-p,,,,,,CG10237,,,,for,,CG17493,,roh,,,,CG8641,AnxB10,Galphas,CG7497,Sar1,,CG7220,Prosbeta3,Rack1
,,,,,,,,CG15916,,CG34423,,,,CG11892,,,,,,,,eIF3d1,,,,Mgat2,,CG10543,,,,,,,CG12811,,Cog7,,CG32448,,,,Cyp6a13,,,,,,,,,,,,,,,Nedd4,,CG12512,,,,,,ken,,,,bgm,,MED21,,rdgA,,,,PI31,Scp2,rictor,RpS29,Tsp42Ef,,CG42260,Rpn12,fred
,,,,,,,,mAChR-B,,cnc,,,,CG32407,,,,,,,,CG32243,,,,CG34371,,CG7694,,,,,,,CG7272,,CG16833,,CG31688,,,,Sox14,,,,,,,,,,,,,,,CG4678,,CG43313,,,,,,CG2852,,,,CG2493,,cnn,,ND-ASHI,,,,Ppcs,Pvr,CG5045,CG4598,Usp12-46,,sfl,sqh,Prosbeta2
,,,,,,,,Spn,,eEF1beta,,,,CG1537,,,,,,,,mts,,,,UQCR-Q,,Xe7,,,,,,,Tis11,,CG32544,,CG2258,,,,h,,,,,,,,,,,,,,,CG41128,,bru2,,,,,,h,,,,pbl,,mRpL52,,Pp1alpha-96A,,,,Tsp96F,tsr,UQCR-C2,CG17333,NTPase,,CG42389,CG8602,Hsc70-4
,,,,,,,,RpS9,,CR43468,,,,CR45875,,,,,,,,Stat92E,,,,ATPCL,,Mkk4,,,,,,,CR45131,,mRpS21,,CG10672,,,,Timp,,,,,,,,,,,,,,,Vps24,,Tsp42Ef,,,,,,Spn27A,,,,Myd88,,Cp110,,ND-51,,,,CG13920,Desat1,CG3530,dpy,RpL23,,Drl-2,Fer1HCH,dpr12
,,,,,,,,Dhpr,,CG31974,,,,CG10178,,,,,,,,Scgbeta,,,,CG10576,,Pka-R1,,,,,,,cry,,eIF3k,,Itp-r83A,,,,kar,,,,,,,,,,,,,,,CG3618,,LManII,,,,,,CG12560,,,,Thor,,Nc73EF,,CG18135,,,,tapas,CG14762,CG32278,RpL23A,GLaz,,rho-5,klg,Rpn11
,,,,,,,,CG4596,,CR44206,,,,mdy,,,,,,,,DnaJ-1,,,,Pak,,thoc7,,,,,,,alpha-Est8,,CG11699,,dpr11,,,,RpL19,,,,,,,,,,,,,,,bmm,,PGRP-LA,,,,,,CG40160,,,,RpL23A,,CG13601,,UQCR-Q,,,,CG34401,CG17556,Hsp68,CG12512,RpS16,,Socs44A,cact,Magi
,,,,,,,,Naa20A,,puc,,,,CG13124,,,,,,,,dikar,,,,CG42376,,CG13551,,,,,,,Ald,,CG40045,,Dgkepsilon,,,,CG9743,,,,,,,,,,,,,,,CG13300,,CG1537,,,,,,RpL18,,,,CG14253,,mRpL3,,stj,,,,kcc,CG11007,chn,RpL9,Ctl2,,alpha-Man-Ia,Gbeta5,Pde11
,,,,,,,,bsk,,kibra,,,,LManII,,,,,,,,Gug,,,,CG4552,,CG14764,,,,,,,Cyp6t1,,eIF3h,,COX7A,,,,eEF1beta,,,,,,,,,,,,,,,gcl,,h,,,,,,RpS14b,,,,CG2277,,Tina-1,,Vps24,,,,Pis,Sirup,Sptr,Nost,Taldo,,arm,CG11158,RpL21
,,,,,,,,CG5746,,Rab1,,,,Lamp1,,,,,,,,bel,,,,CG12163,,Galphaq,,,,,,,Pino,,CG9164,,HIP-R,,,,Cyp6a22,,,,,,,,,,,,,,,CG7430,,CR40469,,,,,,RpL4,,,,RpL14,,CG2680,,Syn1,,,,CG13751,CG10960,CG15772,CR40469,CG6543,,crol,CanB,CG44247
,,,,,,,,U2af50,,AANATL2,,,,CG14291,,,,,,,,PDCD-5,,,,gprs,,Zyx,,,,,,,scf,,kug,,vig,,,,Fkbp14,,,,,,,,,,,,,,,CG7990,,CG12338,,,,,,lbm,,,,RpS8,,P5cr,,Cp110,,,,vig,kay,mAChR-A,CG14439,scro,,CG12004,igl,RpS23
,,,,,,,,Hrb98DE,,CG16743,,,,CG32103,,,,,,,,eIF3i,,,,l(1)G0334,,lwr,,,,,,,CG11378,,Baldspot,,Mdh2,,,,awd,,,,,,,,,,,,,,,CG13398,,CG5618,,,,,,AnxB11,,,,cry,,mRpL43,,Ctl1,,,,Eno,wun,CG6330,CG5254,EloC,,CG5282,CR18166,Men
,,,,,,,,PIG-B,,CG8671,,,,CG11426,,,,,,,,CG43737,,,,NP15.6,,CG5934,,,,,,,CG7834,,CG4364,,Oli,,,,CG13012,,,,,,,,,,,,,,,sxc,,LRP1,,,,,,RpL34b,,,,Rcd2,,AcCoAS,,Gadd45,,,,Mapmodulin,Arf51F,DnaJ-1,CG1275,Gclc,,CG1275,CG13384,CG6767
,,,,,,,,Hsp23,,CG43341,,,,CG5321,,,,,,,,Ptpmeg,,,,CG3719,,Rbp,,,,,,,CG8128,,Mpcp2,,ATPsyndelta,,,,Calr,,,,,,,,,,,,,,,mRpS9,,Cyp305a1,,,,,,CG31200,,,,eEF1gamma,,CG42313,,Lk6,,,,CG30424,CG5793,CG43143,CG18622,scyl,,Neto,CG6084,Frq2
,,,,,,,,nAChRalpha1,,Jwa,,,,Syx4,,,,,,,,prominin-like,,,,CG43066,,CG42684,,,,,,,Myd88,,CG12107,,CG11876,,,,CG10764,,,,,,,,,,,,,,,hwt,,SoxN,,,,,,CG17121,,,,ogre,,CG14186,,CG15771,,,,CG11811,RpS19a,tow,CG7510,Rpi,,Uba2,Rpn11,KCNQ
,,,,,,,,Magi,,RpS16,,,,CG7920,,,,,,,,Mapmodulin,,,,RpS14b,,Rab3,,,,,,,CR44806,,PheRS-m,,CG6144,,,,Cyp6v1,,,,,,,,,,,,,,,eIF3m,,CR45875,,,,,,CG4991,,,,Mtpalpha,,CG33144,,CG32066,,,,PMCA,Thiolase,CG5191,sta,RpL27,,CngB,CG31248,Tom7
,,,,,,,,pod1,,CG12177,,,,Acsl,,,,,,,,ics,,,,CR44922,,eIF3h,,,,,,,CG1537,,CG16711,,CG1902,,,,RpL18A,,,,,,,,,,,,,,,CG15803,,Ssadh,,,,,,Mtpalpha,,,,Orct,,Gs1l,,CG3793,,,,CG12264,Pect,Moe,Adi1,h,,CG8331,CG18731,CG1688
,,,,,,,,Mapmodulin,,pst,,,,pbl,,,,,,,,beat-VII,,,,ND-B17,,ND-AGGG,,,,,,,RpLP2,,CG17124,,Syt4,,,,Myo61F,,,,,,,,,,,,,,,sun,,how,,,,,,zormin,,,,RpL7,,mRpS24,,CG3955,,,,CG13506,fok,CG13375,Mdh1,CG17841,,CG14478,Dyrk2,Cyt-b5
,,,,,,,,CG13300,,Taldo,,,,RpS3A,,,,,,,,eIF3b,,,,CG9281,,Kap-alpha3,,,,,,,spri,,CG1231,,CG34117,,,,CG32276,,,,,,,,,,,,,,,ND-42,,mino,,,,,,MFS14,,,,CG17508,,CG30373,,pr,,,,pck,Ac76E,Pdi,CG5381,CG5793,,Tom7,CG3168,dpr13
,,,,,,,,CG8910,,CG4297,,,,CG33080,,,,,,,,CG9171,,,,Tao,,Lis-1,,,,,,,D2hgdh,,Chmp1,,ND-23,,,,PGRP-SC2,,,,,,,,,,,,,,,milt,,Cyp6a17,,,,,,RpS3,,,,CG43658,,CG9425,,ari-1,,,,CG6329,Cyp12b2,CG33181,RpS24,LRP1,,CG12333,Rpt5,TER94
,,,,,,,,nrm,,santa-maria,,,,Npc2b,,,,,,,,gpp,,,,CG43778,,fs(1)h,,,,,,,Thiolase,,CG11134,,CG4341,,,,CR18228,,,,,,,,,,,,,,,mRpS5,,RpL22,,,,,,Fkbp14,,,,AhcyL2,,CG14806,,Fie,,,,nocte,CG33054,CG13293,how,Adi1,,Cks85A,robo2,ERp60
,,,,,,,,dpr10,,l(2)k09913,,,,Eaat1,,,,,,,,CG40498,,,,Sam-S,,cg,,,,,,,CG32521,,Hat1,,CG11267,,,,CG15211,,,,,,,,,,,,,,,loqs,,CalpB,,,,,,CG31548,,,,Pdk,,CG7029,,AP-1sigma,,,,Ca-alpha1D,Sec61alpha,NaPi-III,CG12262,CG9426,,CG9646,Nep1,Toll-7
,,,,,,,,Drep2,,ct,,,,RpL35A,,,,,,,,wmd,,,,Ctr9,,CG42324,,,,,,,l(2)k09913,,betaTub56D,,CG17556,,,,Pdxk,,,,,,,,,,,,,,,lawc,,CG12560,,,,,,Df31,,,,CG31974,,Hipk,,AhcyL1,,,,Rph,CG7029,PMCA,mthl1,CG8417,,Arp6,PH4alphaEFB,CG13995
,,,,,,,,Arl6IP1,,kra,,,,CG5835,,,,,,,,CG6024,,,,ND-AGGG,,Ric,,,,,,,CG43341,,lilli,,CG13751,,,,CecB,,,,,,,,,,,,,,,ND-B15,,Idgf6,,,,,,zfh1,,,,RpL10,,CG7639,,B52,,,,Hrb27C,Sap-r,cac,GstD9,Meltrin,,Rac1,REPTOR-BP,lark
,,,,,,,,Hsc70Cb,,Pp1-87B,,,,Dscam1,,,,,,,,Rgl,,,,CG14440,,Smurf,,,,,,,CG11655,,Calr,,gpp,,,,CG32368,,,,,,,,,,,,,,,Scgbeta,,CG14688,,,,,,repo,,,,VhaM9.7-c,,cbt,,Ipp,,,,brp,RpL17,ATPsyndelta,CG1648,Rab11,,Tango14,CG43689,CG8726
,,,,,,,,thoc7,,CG18081,,,,Cyp12a4,,,,,,,,fwe,,,,ppl,,drongo,,,,,,,glob1,,bug,,CG18265,,,,CG8839,,,,,,,,,,,,,,,ND-ACP,,Ugt35a,,,,,,Eip71CD,,,,CG5618,,ppl,,Dgkepsilon,,,,CG1827,CG12012,ND-AGGG,h,Rpt2,,Hsp27,CG31814,CaBP1
,,,,,,,,Dscam4,,Synd,,,,CG9917,,,,,,,,CG9391,,,,ND-13A,,p120ctn,,,,,,,Cyp28c1,,arm,,Pdxk,,,,RpL41,,,,,,,,,,,,,,,GIIIspla2,,CG17839,,,,,,wgn,,,,ND5,,mRpL13,,UQCR-6.4,,,,CG1265,aralar1,nkd,scu,Sesn,,side,CG15772,CG6195
,,,,,,,,Fs(2)Ket,,gb,,,,Adi1,,,,,,,,Past1,,,,CHES-1-like,,CG45050,,,,,,,Lamp1,,CG34357,,SdhA,,,,CG10433,,,,,,,,,,,,,,,ND-B12,,Got1,,,,,,GstE3,,,,klu,,CG1635,,CtsB1,,,,CG6330,colt,CG3104,CG33978,RpL32,,Cirl,CG9691,CG2540
,,,,,,,,par-1,,Dll,,,,CG3328,,,,,,,,Cirl,,,,Idh3b,,CG12071,,,,,,,Tsf1,,Psa,,CG7430,,,,Pvr,,,,,,,,,,,,,,,CG33090,,noc,,,,,,CG3091,,,,CG17834,,CG3107,,NP15.6,,,,CG33978,CG8128,CG42492,sgll,Arc42,,Rga,Cyt-b5,NUCB1
,,,,,,,,Dscam1,,CG17059,,,,Men-b,,,,,,,,CG11317,,,,ND-19,,CG5694,,,,,,,Ugt35a,,eIF3e,,l(1)G0156,,,,Dip-B,,,,,,,,,,,,,,,bwa,,moody,,,,,,Lac,,,,Lkr,,Marf,,CG1695,,,,CG5676,CG12355,pod1,RpS15Aa,CG3164,,elm,,CG15019
,,,,,,,,CanA-14F,,ttk,,,,CG8036,,,,,,,,CG6765,,,,CG3961,,CG17321,,,,,,,Ugt36Bc,,Arl1,,Cp110,,,,CG32407,,,,,,,,,,,,,,,CG5112,,CR46194,,,,,,RpL23A,,,,CG10863,,mRpS5,,Gapdh2,,,,Pkc98E,spi,Hsp27,by,dlp,,Galphas,,Sf3b6
,,,,,,,,CG17272,,betaTub97EF,,,,CG6356,,,,,,,,mib2,,,,CG4022,,Dnz1,,,,,,,Arf51F,,GalNAc-T2,,Sep4,,,,CG3609,,,,,,,,,,,,,,,ND-ASHI,,CG7737,,,,,,Tsp42Ed,,,,CG3097,,CG13220,,Mid1,,,,Rbp1-like,Atf3,Dyb,Vha100-2,E23,,Fs(2)Ket,,RpS27A
,,,,,,,,mbf1,,ktub,,,,Got2,,,,,,,,CG9813,,,,Cadps,,elB,,,,,,,zfh2,,CG9384,,RpS14b,,,,CG17646,,,,,,,,,,,,,,,Sod2,,GstE3,,,,,,RpL8,,,,CG8249,,mRpL34,,kra,,,,Shaw,Cyt-b5,Pat1,Tctp,RpS12,,Jafrac1,,RpS3
,,,,,,,,CG6767,,l(3)05822,,,,Baldspot,,,,,,,,CG11151,,,,CG15309,,Kr-h2,,,,,,,nuf,,loqs,,CG44242,,,,CG8051,,,,,,,,,,,,,,,UQCR-6.4,,Pino,,,,,,CG7834,,,,RpL23,,CG31126,,NFAT,,,,CG4612,CG32521,scrib,GNBP1,CG8312,,CG1218,,Pdp1
,,,,,,,,Pp2A-29B,,tim,,,,CG1665,,,,,,,,MFS17,,,,RhoGAP100F,,CG44774,,,,,,,CR43334,,poly,,ND-19,,,,be,,,,,,,,,,,,,,,CG9705,,CG32369,,,,,,Mmp1,,,,Pgd,,CG15922,,blw,,,,bchs,CG6950,Syt4,CG31997,Jheh3,,Ubr1,,RpLP0-like
,,,,,,,,mts,,psq,,,,CG7272,,,,,,,,CG31760,,,,UbcE2H,,smog,,,,,,,E(spl)m3-HLH,,Kr-h2,,CG7971,,,,CG6287,,,,,,,,,,,,,,,Rsf1,,Ctr1B,,,,,,CR46006,,,,GstE3,,CG14270,,ND-20,,,,CG7781,CG7149,ATPsynbeta,Indy,CG3939,,Eaf,,Arl6
,,,,,,,,Cka,,Usp15-31,,,,RpL35,,,,,,,,CG5746,,,,Hcf,,pigs,,,,,,,CG6847,,RNaseX25,,Fs(2)Ket,,,,CG18343,,,,,,,,,,,,,,,CG13220,,CG32195,,,,,,CG2493,,,,CR33963,,,,CG16833,,,,PI4KIIIalpha,Invadolysin,CG40045,pst,fok,,Ntf-2,,CG15168
,,,,,,,,cac,,lqf,,,,Cyp4s3,,,,,,,,CG32100,,,,sun,,Hel25E,,,,,,,CG1941,,Ady43A,,Pep,,,,CR33963,,,,,,,,,,,,,,,Rgk3,,GEFmeso,,,,,,VhaM9.7-c,,,,GstT3,,,,CASK,,,,,Cp1,Gp93,GstT3,RpL35A,,Hsp23,,sn
,,,,,,,,CG32243,,CG7378,,,,RpL39,,,,,,,,Jupiter,,,,ND-ASHI,,me31B,,,,,,,CG11425,,CG1882,,CG44838,,,,CG8602,,,,,,,,,,,,,,,Syngr,,CAP,,,,,,T48,,,,fabp,,,,CG14483,,,,,Pax,CG17360,Mtpalpha,LTV1,,CG8613,,CG10384
,,,,,,,,CG7708,,CG8321,,,,CG31751,,,,,,,,CR44030,,,,CG4467,,Pp1-87B,,,,,,,CG8547,,CG4300,,CG12264,,,,CG5973,,,,,,,,,,,,,,,QIL1,,CG9467,,,,,,gb,,,,smp-30,,,,ND-B12,,,,,RpL34a,Nacalpha,Irk2,Tapdelta,,Rbcn-3B,,Hsc70-3
,,,,,,,,CG11537,,CycG,,,,Cyp6a2,,,,,,,,brat,,,,NfI,,Slmap,,,,,,,CR18228,,CG11876,,pnut,,,,Jafrac1,,,,,,,,,,,,,,,stx,,CG3097,,,,,,CG42240,,,,CR43334,,,,ND-23,,,,,slmo,UQCR-6.4,CG31673,Sod1,,Gdi,,SP2353
,,,,,,,,RhoBTB,,Mmp1,,,,pnt,,,,,,,,fdl,,,,CG42668,,CG17271,,,,,,,CG1213,,CG2218,,rt,,,,RpL26,,,,,,,,,,,,,,,NaPi-III,,CG42389,,,,,,ced-6,,,,CG3164,,,,CG18265,,,,,tud,CG11317,cv-c,wal,,Ranbp16,,CG34417
,,,,,,,,skd,,Sesn,,,,JhI-26,,,,,,,,AcCoAS,,,,CG9171,,CG6707,,,,,,,PGRP-LA,,hfp,,Syx6,,,,Svil,,,,,,,,,,,,,,,CG15891,,wal,,,,,,CG7800,,,,if,,,,Gapdh1,,,,,Xbp1,vib,Spn43Ab,Rho1,,CG9953,,RpL35
,,,,,,,,CG17202,,CG12384,,,,GILT3,,,,,,,,Naa20A,,,,,,Fili,,,,,,,GstD1,,CG13894,,ND-B16.6,,,,CG33281,,,,,,,,,,,,,,,elm,,CG9932,,,,,,CG5254,,,,CG5577,,,,Ady43A,,,,,,COX8,RpL35,RpL10Ab,,smal,,CG1648
,,,,,,,,Plc21C,,CG9743,,,,PGRP-LA,,,,,,,,CG10132,,,,,,l(2)37Cc,,,,,,,Vha68-2,,CG33129,,ND-B17.2,,,,CG11791,,,,,,,,,,,,,,,RhoGAP93B,,T48,,,,,,for,,,,AnxB11,,,,COX5B,,,,,,Dmtn,GLaz,eEF5,,ergic53,,smt3
,,,,,,,,toc,,cry,,,,tkv,,,,,,,,CG3689,,,,,,Xbp1,,,,,,,E(spl)mbeta-HLH,,ND6,,eIF3b,,,,fog,,,,,,,,,,,,,,,eIF3f1,,CG3164,,,,,,Ugt86Dd,,,,Gapdh1,,,,Cbp20,,,,,,Mical,CG5577,Inos,,Nak,,CG31036
,,,,,,,,Mi-2,,Tapdelta,,,,RpS20,,,,,,,,Irp-1A,,,,,,CG8289,,,,,,,Mes2,,CG11155,,Vps24,,,,santa-maria,,,,,,,,,,,,,,,CG14186,,Cyp6a13,,,,,,GILT1,,,,RpL18,,,,l(3)02640,,,,,,Sod1,CG5590,Pdxk,,dtn,,CG3568
,,,,,,,,l(3)L1231,,CG31248,,,,rho,,,,,,,,CG31140,,,,,,CG3961,,,,,,,nolo,,CG15237,,CG11076,,,,Mdr49,,,,,,,,,,,,,,,ND-75,,AdoR,,,,,,Moe,,,,PGRP-LB,,,,Rop,,,,,,l(1)G0255,LamC,CR17025,,Dscam1,,RpS26
,,,,,,,,CoRest,,Cyp12a4,,,,Pgm,,,,,,,,CG7708,,,,,,skd,,,,,,,stumps,,puc,,Dlc90F,,,,Mal-A5,,,,,,,,,,,,,,,path,,CG5955,,,,,,CR43334,,,,kibra,,,,CG14777,,,,,,Hsp70Aa,CG3655,spi,,lilli,,CG5355
,,,,,,,,upSET,,CG31673,,,,stumps,,,,,,,,qkr58E-1,,,,,,gus,,,,,,,rols,,caps,,Sod2,,,,ERp60,,,,,,,,,,,,,,,CR46004,,LpR2,,,,,,Spn77Ba,,,,fog,,,,l(1)G0156,,,,,,CG4238,CG5112,glob1,,NAT1,,CG17765
,,,,,,,,Ncoa6,,CG32407,,,,Mmp1,,,,,,,,CG32428,,,,,,upSET,,,,,,,Past1,,CG44774,,pgant2,,,,RpL17,,,,,,,,,,,,,,,l(1)G0334,,nuf,,,,,,svp,,,,CG3091,,,,chn,,,,,,Rbp1-like,babos,mino,,Mesh1,,Rpt3
,,,,,,,,Hsp70Bc,,GstE3,,,,Ald,,,,,,,,CG10508,,,,,,CG9410,,,,,,,CR45018,,Prosbeta2,,D1,,,,RpL11,,,,,,,,,,,,,,,Nhe2,,Sp7,,,,,,QC,,,,CG31673,,,,CG13220,,,,,,Adar,Got1,Act5C,,alt,,su(f)
,,,,,,,,CG8108,,skap,,,,wal,,,,,,,,CG11486,,,,,,Arl6IP1,,,,,,,aop,,CG4287,,ND-B14,,,,Ten-m,,,,,,,,,,,,,,,ND-B18,,Xbp1,,,,,,CR33963,,,,wgn,,,,ND-MLRQ,,,,,,CG33868,coro,CG8547,,CG41378,,Phm
,,,,,,,,Cdc37,,CR44029,,,,CG1468,,,,,,,,CG13204,,,,,,phyl,,,,,,,alc,,Srp54,,EndoA,,,,CG31710,,,,,,,,,,,,,,,aPKC,,CG6701,,,,,,Irc,,,,Glo1,,,,wdb,,,,,,Mp,CG6287,VhaM9.7-b,,gw,,RpL22
,,,,,,,,osa,,Dscam1,,,,cry,,,,,,,,GluClalpha,,,,,,CG17202,,,,,,,CR43411,,mxt,,Mpcp2,,,,AnxB11,,,,,,,,,,,,,,,CG3719,,prage,,,,,,SmD3,,,,Irc,,,,Gale,,,,,,CR32865,PCB,Cyp28d1,,dpr21,,eca
,,,,,,,,scrib,,euc,,,,GEFmeso,,,,,,,,Dscam1,,,,,,ghi,,,,,,,Hexo2,,CG14440,,l(3)87Df,,,,RpS12,,,,,,,,,,,,,,,CR45332,,RpS13,,,,,,Cyp6a17,,,,RpL3,,,,maf-S,,,,,,Mapmodulin,Mlc-c,Dbi,,Pof,,e(r)
,,,,,,,,Dsp1,,oys,,,,Oatp74D,,,,,,,,roX2,,,,,,Dscam1,,,,,,,CG3328,,CG11357,,Hsc70-4,,,,Cln7,,,,,,,,,,,,,,,,,NTPase,,,,,,vri,,,,26-29-p,,,,ND-42,,,,,,CG7985,CG17032,CG15118,,,,CG7637
